번호,시도명,시군구명,시설명,소재지도로명주소,소재지지번주소,시설유형,위험시설지정고시번호,위험시설지정일자,위험시설지정사유,위험시설해제일자,위도,경도,연장,폭,시설부속물,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
132,강원도,태백시,귀네미,강원도 태백시 귀네미1길 2,강원도 태백시 하사미동524-121,농로,,1900-01-01,농로,1900-01-01,37.3338140,129.0033670,8870,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
133,강원도,태백시,매봉산,,강원도 태백시 창죽동 9-176,농로,,1900-01-01,농로,1900-01-01,37.236345,128.958911,8370,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
134,강원도,태백시,화전제2개간지 농로,강원도 태백시 매닙재2길 7,강원도 태백시 화전동104-21,농로,,1900-01-01,농로,1900-01-01,37.1911871,128.961872,2700,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
135,강원도,태백시,유일사지구 농로,,강원도 태백시 금천동 162,농로,,1900-01-01,농로,1900-01-01,37.090553,128.968965,1000,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
136,강원도,태백시,금천 46-1 농로,,강원도 태백시 금천동 47-1,농로,,1900-01-01,농로,1900-01-01,37.088763,128.984210,630,2,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
137,강원도,태백시,금천약초농장앞 농로,,강원도 태백시 금천동127-1,농로,,1900-01-01,농로,1900-01-01,37.085604,128.977657,600,2,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
138,강원도,태백시,금천 창고 앞 농로,,강원도 태백시 금천동146-1,농로,,1900-01-01,농로,1900-01-01,37.089187,128.973281,500,1,농기계창고,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
139,강원도,태백시,금천정가네뒤 농로,,강원도 태백시 금천동171-8,농로,,1900-01-01,농로,1900-01-01,37.088885,128.971191,620,2,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
140,강원도,삼척시,애향교,,강원도 삼척시 미로면 고천리 504,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.417886,129.0619118944,12,8,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
141,강원도,삼척시,점리6교,,강원도 삼척시 도계읍 늑구리 산218-1,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.253624,129.040329,11,5,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
142,강원도,삼척시,공전교,,강원도 삼척시 하장면 공전리 106,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.352606,128.8494514370,13,5,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
143,강원도,삼척시,교곡2리,,강원도 삼척시 근덕면 교곡리 195,농로,삼척시 고시 제2017?1호,2017-01-02,,,37.3650813497,129.2117669211,600,3,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
144,강원도,삼척시,부남2리,,강원도 삼척시 근덕면 부남리 134-5,세천,삼척시 고시 제2017?1호,2017-01-02,,,37.357739,129.248713,240,2,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
145,강원도,삼척시,농공단지교,,강원도 삼척시 도계읍 늑구리 571,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.2707718,129.0637931700,54,9,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
146,강원도,삼척시,신방터세천,,강원도 삼척시 도계읍 상덕리287,세천,삼척시 고시 제2017?1호,2017-01-02,,,37.2192275693,129.062825,100,3,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
147,강원도,삼척시,전두소교량,,강원도 삼척시 도계읍 전두리98-3,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.2282784560,129.0415393702,19,4,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
148,강원도,삼척시,둔지교,,강원도 삼척시 도계읍 신리202,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.1830109697,129.1347472,12,6,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
149,강원도,삼척시,우지1교,,강원도 삼척시 우지동10-1,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.4621428,129.1540462,8,6,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
150,강원도,삼척시,동덕교,,강원도 삼척시 도계읍 상덕리89-1,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.2078971263,129.0784358633,10,6,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
151,강원도,삼척시,오분구교,,강원도 삼척시 오분동69-5,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.4252085359,129.187866,11,9,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
152,강원도,삼척시,하정길1,,강원도 삼척시 미로면 하정리185-6,마을진입로,삼척시 고시 제2017?1호,2017-01-02,,,37.3873018164,129.108239,50,5,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
153,강원도,삼척시,상마읍2교,,강원도 삼척시 노곡면 중마읍리167,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.2577385551,129.1738930544,30,6,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
154,강원도,삼척시,대평교,,강원도 삼척시 근덕면 동막리1589,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.309155,129.196278,63,5,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
155,강원도,삼척시,구사1교,,강원도 삼척시 도계읍 구사리203,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.1823707551,129.0669897632,10,5,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
156,강원도,삼척시,삼거리무명1,,강원도 삼척시 미로면 삼거리176-4,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.4091869653,129.0668056594,19,6,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
157,강원도,삼척시,추동소농로,,강원도 삼척시 하장면 추동리159-2,농로,삼척시 고시 제2017?1호,2017-01-02,,,37.327035,128.8932634032,100,3,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
158,강원도,삼척시,빙동천4,,강원도 삼척시 가곡면 동활리119-1,세천,삼척시 고시 제2017?1호,2017-01-02,,,37.141738,129.1483391560,50,4,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
159,강원도,삼척시,무명서하교,,강원도 삼척시 신기면 서하리123,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.3474079070,129.064241,20,6,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
160,강원도,삼척시,고천무명2,,강원도 삼척시 미로면 고천리185-2,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.4182643805,129.0672038924,14,4,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
161,강원도,삼척시,신기파크교,,강원도 삼척시 신기면 대이리88,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.3308647988,129.0394056,21,7,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
162,강원도,삼척시,교곡2교,,강원도 삼척시 근덕면 교곡리113,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.3576153959,129.2096574383,10,5,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
163,강원도,삼척시,도마평교,,강원도 삼척시 미로면 하거노리694-5,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.4150906239,129.0824096072,38,5,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
164,강원도,삼척시,무명교,,강원도 삼척시 미로면 고천리463,소교량,삼척시 고시 제2017?1호,2017-01-02,,,37.4170107930,129.0610554495,9,7,,033-570-3886,강원도 삼척시청,2019-05-23,4240000,강원도 삼척시
1,강원도,춘천시,백석골길 마을진입로,,강원도 춘천시 퇴계동 584-11,마을진입로,제2017-108호,2017-03-16,안전등급 불량,,37.8543307911,127.7209520802,510,6,,033-250-4236,강원도 춘천시청,2019-08-02,4180000,강원도 춘천시
2,강원도,춘천시,베일골 소교량,,강원도 춘천시 서면 당림리 555,소교량,제2017-27호,2017-01-19,안전등급 불량,,37.8341321359,127.6208062163,20,5,,033-250-4236,강원도 춘천시청,2019-08-02,4180000,강원도 춘천시
3,강원도,춘천시,정족1길 마을진입로,,강원도 춘천시 신동면 정족리 374-3,마을진입로,제2017-27호,2017-01-19,안전등급 불량,,37.8313687422,127.7340827420,1200,7,,033-250-4097,강원도 춘천시청,2019-08-02,4180000,강원도 춘천시
4,강원도,강릉시,집너머교,강원도 강릉시 연곡면 외동길 111,강원도 강릉시 연곡면 삼산리 산326,소교량,강릉시 2017-12호,2017-01-12,소규모 위험시설정비 중기계획 명세서,,37.8266512607,128.7002876556,5,3,-,033-660-3692,강릉시 연곡면사무소,2019-09-20,4200000,강원도 강릉시
5,강원도,강릉시,청학소교,강원도 강릉시 연곡면 외동길 79,강원도 강릉시 연곡면 삼산리 1424,소교량,강릉시 2017-12호,2017-01-12,소규모 위험시설정비 중기계획 명세서,,37.827962,128.7033667673,5,3,-,033-660-3692,강릉시 연곡면사무소,2019-09-20,4200000,강원도 강릉시
6,강원도,강릉시,참샘교,강원도 강릉시 주문진읍 향호리 1523,강원도 강릉시 주문진읍 향호리 1523,소교량,강릉시 2017-12호,2017-01-12,소규모 위험시설정비 중기계획 명세서,,37.909848,128.7948671880,9,5,-,033-660-3441,강릉시 주문진읍사무소,2019-09-20,4200000,강원도 강릉시
7,강원도,강릉시,산북교,강원도 강릉시 성산면 산북리 516,강원도 강릉시 성산면 산북리 516,소교량,강릉시 2017-12호,2017-01-12,소규모 위험시설정비 중기계획 명세서,,37.7032554,128.8388757890,10,5,-,033-660-3525,강릉시 성산면사무소,2019-09-20,4200000,강원도 강릉시
8,강원도,동해시,무릉2교,,강원도 동해시 삼화동 산180-5,소교량,2016-133,2016-12-30,,,37.46992056,129.0390961,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
9,강원도,동해시,윗골천 1교,,강원도 동해시 망상동 398-3,소교량,2016-133,2016-12-30,,,37.59443741,129.082012,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
10,강원도,동해시,귀운천 8교,,강원도 동해시 귀운동 300-71,소교량,2016-133,2016-12-30,,,37.47440354,129.0963309,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
11,강원도,동해시,귀운천 13교,,강원도 동해시 귀운동 산12,소교량,2016-133,2016-12-30,,,37.47042047,129.0973466,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
12,강원도,동해시,귀운천 15교,,강원도 동해시 귀운동 229,소교량,2016-133,2016-12-30,,,37.46872791,129.0962253,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
13,강원도,동해시,귀운천 17교,,강원도 동해시 귀운동 225,소교량,2016-133,2016-12-30,,,37.46737495,129.0954028,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
14,강원도,동해시,귀운천 20교,,강원도 동해시 귀운동 255,소교량,2016-133,2016-12-30,,,37.46426135,129.090101,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
15,강원도,동해시,분토천 2교,,강원도 동해시 효가동 318-4,소교량,2016-133,2016-12-30,,,37.49853735,129.1113408,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
16,강원도,동해시,달방천 3교,,강원도 동해시 달방동 158,소교량,2016-133,2016-12-30,,,37.50482452,129.0187581,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
17,강원도,동해시,터일길,,강원도 동해시 망상동 409-15,마을진입로,2016-133,2016-12-30,,,37.5955749,129.0788238,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
18,강원도,동해시,매밀길,,강원도 동해시 심곡동 524,마을진입로,2016-133,2016-12-30,,,37.58427575,129.0915678,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
19,강원도,동해시,신계길,,강원도 동해시 만우동 243-1,마을진입로,2016-133,2016-12-30,,,37.5577363,129.0723579,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
20,강원도,동해시,지양천보,,강원도 동해시 지흥동 402-1,취입보,2016-133,2016-12-30,,,37.50026906,129.0947755,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
21,강원도,동해시,사뭇재골천보,,강원도 동해시 초구동 1-1,취입보,2016-133,2016-12-30,,,37.57628776,129.0969417,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
22,강원도,동해시,금단천1보,,강원도 동해시 괴란동 435,취입보,2016-133,2016-12-30,,,37.57201338,129.0678762,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
23,강원도,동해시,윗골천 2교,,강원도 동해시 망상동 599,소교량,2016-133,2016-12-30,,,37.58857393,129.0925139,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
24,강원도,동해시,윗골천 3교,,강원도 동해시 망상동 626,소교량,2016-133,2016-12-30,,,37.58749891,129.0889202,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
25,강원도,동해시,윗골천 4교,,강원도 동해시 망상동 281-37,소교량,2016-133,2016-12-30,,,37.58721356,129.0856664,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
26,강원도,동해시,윗골천 5교,,강원도 동해시 망상동 256,소교량,2016-133,2016-12-30,,,37.58681824,129.0865212,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
27,강원도,동해시,심곡천 2교,,강원도 동해시 심곡동 354,소교량,2016-133,2016-12-30,,,37.5821986,129.0807101,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
28,강원도,동해시,영단천 2교,,강원도 동해시 심곡동 670-6,소교량,2016-133,2016-12-30,,,37.57861025,129.085496,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
29,강원도,동해시,영단천 4교,,강원도 동해시 심곡동 282,소교량,2016-133,2016-12-30,,,37.57982346,129.0809397,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
30,강원도,동해시,영단천 5교,,강원도 동해시 심곡동 461-2,소교량,2016-133,2016-12-30,,,37.58085505,129.0755316,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
31,강원도,동해시,초구천 6교,,강원도 동해시 초구동 408-23,소교량,2016-133,2016-12-30,,,37.57199304,129.0888186,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
32,강원도,동해시,초구천 7교,,강원도 동해시 초구동 225,소교량,2016-133,2016-12-30,,,37.5715759,129.0891068,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
33,강원도,동해시,초구천 8교,,강원도 동해시 초구동 224-1,소교량,2016-133,2016-12-30,,,37.57075847,129.0888345,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
34,강원도,동해시,괴란천 1교,,강원도 동해시 괴란동 393,소교량,2016-133,2016-12-30,,,37.57412204,129.068846,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
35,강원도,동해시,괴란천 2교,,강원도 동해시 괴란동 434,소교량,2016-133,2016-12-30,,,37.57171475,129.0680191,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
36,강원도,동해시,괴란천 4교,,강원도 동해시 괴란동 191,소교량,2016-133,2016-12-30,,,37.57217768,129.063656,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
37,강원도,동해시,괴란천 5교,,강원도 동해시 괴란동 183-1,소교량,2016-133,2016-12-30,,,37.57270657,129.060958,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
38,강원도,동해시,괴란천 6교,,강원도 동해시 괴란동 162,소교량,2016-133,2016-12-30,,,37.5725075,129.0600495,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
39,강원도,동해시,괴란천 7교,,강원도 동해시 괴란동 379-7,소교량,2016-133,2016-12-30,,,37.57118666,129.0636419,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
40,강원도,동해시,괴란천 8교,,강원도 동해시 괴란동 379-4,소교량,2016-133,2016-12-30,,,37.57109933,129.063335,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
41,강원도,동해시,괴란천 9교,,강원도 동해시 괴란동 396-4,소교량,2016-133,2016-12-30,,,37.57080988,129.0624593,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
42,강원도,동해시,금단천 2교,,강원도 동해시 괴란동 238,소교량,2016-133,2016-12-30,,,37.57549873,129.0650732,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
43,강원도,동해시,금단천 3교,,강원도 동해시 괴란동 241,소교량,2016-133,2016-12-30,,,37.57592676,129.0645698,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
44,강원도,동해시,금단천 5교,,강원도 동해시 괴란동 262-2,소교량,2016-133,2016-12-30,,,37.57791319,129.0651076,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
45,강원도,동해시,금단천 7교,,강원도 동해시 괴란동 산24,소교량,2016-133,2016-12-30,,,37.57973623,129.0657789,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
46,강원도,동해시,두암천 2교,,강원도 동해시 괴란동 61,소교량,2016-133,2016-12-30,,,37.56928472,129.0677127,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
47,강원도,동해시,두암천 6교,,강원도 동해시 괴란동 198-1,소교량,2016-133,2016-12-30,,,37.57122186,129.0625462,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
48,강원도,동해시,사뭇재골천 4교,,강원도 동해시 초구동 399-2,소교량,2016-133,2016-12-30,,,37.56906459,129.0995072,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
49,강원도,동해시,호현천 2교,,강원도 동해시 호현동 23,소교량,2016-133,2016-12-30,,,37.46515751,129.1317813,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
50,강원도,동해시,호현천 3교,,강원도 동해시 호현동 62,소교량,2016-133,2016-12-30,,,37.46523336,129.1276225,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
51,강원도,동해시,지가천 3교,,강원도 동해시 단봉동 918-12,소교량,2016-133,2016-12-30,,,37.46619726,129.1143657,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
52,강원도,동해시,지가천 4교,,강원도 동해시 단봉동 463-8,소교량,2016-133,2016-12-30,,,37.4651393,129.1133286,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
53,강원도,동해시,이도 2교,,강원도 동해시 이도동 405-6,소교량,2016-133,2016-12-30,,,37.47853685,129.1033673,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
54,강원도,동해시,이도교,,강원도 동해시 귀운동 3-2,소교량,2016-133,2016-12-30,,,37.47785357,129.0993435,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
55,강원도,동해시,귀운천 6교,,강원도 동해시 귀운동 61,소교량,2016-133,2016-12-30,,,37.47635173,129.0970942,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
56,강원도,동해시,서학천 1교,,강원도 동해시 신흥동 620,소교량,2016-133,2016-12-30,,,37.52224251,129.0123998,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
57,강원도,동해시,서학천 3교,,강원도 동해시 신흥동 798,소교량,2016-133,2016-12-30,,,37.51102268,129.0062871,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
58,강원도,동해시,금곡천 2교,,강원도 동해시 삼화동 774,소교량,2016-133,2016-12-30,,,37.47729729,129.0373781,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
59,강원도,동해시,금곡천 3교,,강원도 동해시 삼화동 산110-2,소교량,2016-133,2016-12-30,,,37.47770941,129.0345686,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
60,강원도,동해시,금곡천 4교,,강원도 동해시 이기동 산32-1,소교량,2016-133,2016-12-30,,,37.48125327,129.0260018,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
61,강원도,동해시,부곡천 7교,,강원도 동해시 부곡동 417-1,소교량,2016-133,2016-12-30,,,37.53936091,129.0727054,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
62,강원도,동해시,부곡천 8교,,강원도 동해시 부곡동 417,소교량,2016-133,2016-12-30,,,37.53914983,129.0721366,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
63,강원도,동해시,안의골천 6교,,강원도 동해시 천곡동 710,소교량,2016-133,2016-12-30,,,37.51870612,129.0897284,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
64,강원도,동해시,안의골천 8교,,강원도 동해시 천곡동 709,소교량,2016-133,2016-12-30,,,37.51947289,129.0876807,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
65,강원도,동해시,안의골천 9교,,강원도 동해시 천곡동 711,소교량,2016-133,2016-12-30,,,37.51884183,129.0877167,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
66,강원도,동해시,연당 세천,,강원도 동해시 단봉동 285,세천,2016-133,2016-12-30,,,37.47420175,129.1197417,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
67,강원도,동해시,금단골 세천,,강원도 동해시 괴란동 394,세천,2016-133,2016-12-30,,,37.57638194,129.066048,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
68,강원도,동해시,올밑 세천,,강원도 동해시 괴란동 466,세천,2016-133,2016-12-30,,,37.571596,129.0672023,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
69,강원도,동해시,윗골 세천,,강원도 동해시 망상동 705,세천,2016-133,2016-12-30,,,37.58640248,129.0847035,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
