사망,부상,인명피해(명)소계,화재발생년월일,시도,시군구,재산피해소계,부동산,동산,장소대분류,장소중분류,장소소분류
0,0,0,2017-01-01 4:10,경상남도,창원시 마산합포구,2329,660,1669,주거,공동주택,아파트
0,0,0,2017-01-01 5:40,경상북도,예천군,1527,558,969,산업시설,동식물시설,버섯재배사
0,0,0,2017-01-01 5:54,부산광역시,북구,721,596,125,생활서비스,음식점,한식
0,0,0,2017-01-01 6:26,경상북도,봉화군,46696,4544,42152,산업시설,동식물시설,돈사
0,0,0,2017-01-01 6:44,인천광역시,남구,3702,3271,431,생활서비스,일상서비스,일반상점
0,0,0,2017-01-01 7:22,경상남도,함안군,3762,0,3762,주거,기타주택,컨테이너(주거용)
0,0,0,2017-01-01 7:46,강원도,강릉시,0,,,기타,도로,기타도로
0,0,0,2017-01-01 8:16,전라북도,전주시덕진구,100,100,0,운수자동차시설,자동차시설,기타 자동차시설
0,0,0,2017-01-01 8:38,전라북도,전주시덕진구,100,0,100,기타,야외,쓰레기
0,0,0,2017-01-01 9:07,경기도,수원시권선구,4674,3497,1177,운수자동차시설,자동차시설,"자동차검사장, 매매장, 부속상, 정비공장"
0,0,0,2017-01-01 9:18,경기도,파주시,2253,1194,1059,"판매,업무시설",일반업무,일반빌딩
0,0,0,2017-01-01 9:18,대구광역시,서구,2125,0,2125,산업시설,공장시설,그 밖의 공업
0,0,0,2017-01-01 9:51,광주광역시,북구,5656,5656,0,운수자동차시설,자동차시설,주차장
0,0,0,2017-01-01 9:57,인천광역시,계양구,5232,4605,627,산업시설,창고시설,"냉장, 냉동창고"
0,0,0,2017-01-01 10:36,대구광역시,북구,9050,3493,5557,주거,공동주택,다세대주택
0,0,0,2017-01-01 10:40,충청남도,아산시,3597,2266,1331,생활서비스,음식점,한식
0,0,0,2017-01-01 11:26,대구광역시,달성군,70,0,70,주거,공동주택,아파트
0,0,0,2017-01-01 11:40,충청남도,예산군,270,0,270,기타,야외,야적장
0,0,0,2017-01-01 12:01,부산광역시,금정구,217,0,217,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-01 12:25,충청북도,음성군,8008,3138,4870,산업시설,공장시설,금속기계 및 기구공업
0,0,0,2017-01-01 12:30,전라북도,전주시완산구,15,0,15,주거,공동주택,아파트
0,0,0,2017-01-01 12:32,경상북도,경주시,313,190,123,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-01 12:40,부산광역시,중구,53,20,33,"판매,업무시설",판매시설,시장
0,0,0,2017-01-01 12:43,서울특별시,강동구,374,203,171,주거,공동주택,아파트
0,0,0,2017-01-01 12:57,전라남도,목포시,73,0,73,"판매,업무시설",일반업무,오피스텔
0,0,0,2017-01-01 12:57,서울특별시,강북구,0,,,기타,야외,기타야외
0,0,0,2017-01-01 12:59,충청남도,공주시,936,606,330,주거,단독주택,단독주택
0,0,0,2017-01-01 13:09,경상북도,경주시,62,51,11,기타,야외,기타야외
0,0,0,2017-01-01 13:15,충청남도,서천군,37598,29040,8558,생활서비스,일상서비스,일반상점
0,0,0,2017-01-01 13:41,전라남도,화순군,33,0,33,임야,산불,사유림
0,0,0,2017-01-01 14:00,서울특별시,양천구,30,0,30,주거,공동주택,아파트
0,0,0,2017-01-01 14:17,인천광역시,중구,30,0,30,주거,공동주택,아파트
0,0,0,2017-01-01 14:26,강원도,홍천군,95,95,0,주거,단독주택,단독주택
0,0,0,2017-01-01 14:30,광주광역시,북구,13410,7445,5965,"판매,업무시설",판매시설,기타 판매시설
0,0,0,2017-01-01 14:36,충청북도,진천군,14837,6803,8034,생활서비스,음식점,기타 음식점
0,0,0,2017-01-01 14:47,서울특별시,강서구,2200,0,2200,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-01 15:58,서울특별시,서초구,50,0,50,주거,단독주택,단독주택
0,0,0,2017-01-01 16:14,강원도,홍천군,51182,40159,11023,주거,단독주택,단독주택
0,0,0,2017-01-01 16:17,서울특별시,송파구,715,0,715,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-01 16:20,부산광역시,북구,220,0,220,기타,야외,공터
0,0,0,2017-01-01 16:33,전라남도,화순군,1320,0,1320,"자동차,철도차량",자동차,버스
0,0,0,2017-01-01 16:33,강원도,평창군,620,620,0,산업시설,동식물시설,기타 동식물시설
0,0,0,2017-01-01 16:34,부산광역시,북구,22,0,22,임야,산불,사유림
0,1,1,2017-01-01 16:46,경기도,과천시,28551,5385,23166,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-01 16:48,경기도,수원시장안구,2970,0,2970,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-01 16:49,서울특별시,송파구,107,72,35,생활서비스,일상서비스,고시원(원룸텔)
0,0,0,2017-01-01 17:35,서울특별시,관악구,124,0,124,주거,단독주택,다가구주택
0,0,0,2017-01-01 17:39,광주광역시,광산구,203,143,60,산업시설,공장시설,제재 및 목공업
0,0,0,2017-01-01 17:40,대구광역시,남구,30,0,30,생활서비스,음식점,기타 음식점
0,0,0,2017-01-01 17:51,경기도,이천시,385,193,192,산업시설,동식물시설,농예용 온실
0,0,0,2017-01-01 17:57,경상남도,창원시 마산합포구,425,84,341,생활서비스,음식점,일반주점
0,0,0,2017-01-01 18:00,충청남도,공주시,76,72,4,주거,단독주택,단독주택
0,0,0,2017-01-01 18:08,경기도,수원시영통구,3983,0,3983,기타,야외,기타야외
0,0,0,2017-01-01 18:19,대구광역시,서구,0,,,집합시설,운동시설,기타 운동시설
0,0,0,2017-01-01 19:07,경기도,부천시,4757,0,4757,산업시설,공장시설,금속기계 및 기구공업
0,0,0,2017-01-01 19:24,대구광역시,동구,13064,8774,4290,주거,단독주택,단독주택
0,0,0,2017-01-01 19:39,제주특별자치도,제주시,495,209,286,주거,공동주택,아파트
0,0,0,2017-01-01 19:46,전라남도,장성군,3033,2938,95,주거,단독주택,단독주택
0,0,0,2017-01-01 19:46,인천광역시,남동구,4118,2556,1562,생활서비스,음식점,한식
0,0,0,2017-01-01 19:56,경기도,광명시,18,0,18,주거,공동주택,아파트
0,0,0,2017-01-01 20:01,충청남도,공주시,5445,0,5445,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-01 20:04,전라남도,강진군,539,0,539,기타,야외,볏짚
0,0,0,2017-01-01 20:07,대구광역시,북구,332,261,71,기타,야외,쓰레기
0,0,0,2017-01-01 20:20,경기도,김포시,4,0,4,기타,야외,기타야외
0,0,0,2017-01-01 20:23,부산광역시,동구,97,55,42,생활서비스,일상서비스,고시원(원룸텔)
0,0,0,2017-01-01 20:44,서울특별시,강동구,315,0,315,주거,단독주택,다가구주택
0,0,0,2017-01-01 20:53,경상북도,경산시,1072,0,1072,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-01 21:08,충청남도,천안시서북구,4454,3723,731,생활서비스,일상서비스,"수리,A/S,상하수도"
0,1,1,2017-01-01 21:21,대구광역시,남구,42,42,0,주거,단독주택,단독주택
0,0,0,2017-01-01 21:44,경상남도,통영시,199,0,199,생활서비스,위락시설,유흥주점
0,0,0,2017-01-01 21:47,부산광역시,중구,0,,,생활서비스,일상서비스,기타 일상서비스
0,0,0,2017-01-01 21:48,울산광역시,울주군,110,0,110,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-01 22:10,경기도,하남시,364,0,364,주거,공동주택,아파트
0,0,0,2017-01-01 22:45,부산광역시,동구,48,0,48,기타,야외,쓰레기
0,0,0,2017-01-01 23:02,경기도,김포시,210,0,210,기타,야외,기타야외
0,0,0,2017-01-01 23:03,경상북도,영주시,8308,5584,2724,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-01 23:05,부산광역시,동래구,30,0,30,"판매,업무시설",숙박시설,여관
0,0,0,2017-01-01 23:11,경기도,남양주시,3008,1309,1699,산업시설,작업장,기타 작업장
0,0,0,2017-01-01 23:18,전라남도,고흥군,330,0,330,주거,단독주택,단독주택
0,0,0,2017-01-02 0:07,서울특별시,서대문구,128,49,79,주거,단독주택,다가구주택
0,0,0,2017-01-02 0:12,서울특별시,은평구,8188,5828,2360,주거,공동주택,다세대주택
0,0,0,2017-01-02 0:21,울산광역시,남구,103,0,103,생활서비스,음식점,한식
0,0,0,2017-01-02 0:39,경기도,화성시,7671,3307,4364,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-02 0:53,서울특별시,마포구,330,0,330,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-02 1:02,전라남도,목포시,135,0,135,기타,야외,기타야외
0,0,0,2017-01-02 1:24,경기도,평택시,181,0,181,생활서비스,음식점,한식
0,0,0,2017-01-02 2:18,경기도,화성시,115,0,115,기타,야외,기타야외
0,0,0,2017-01-02 2:37,인천광역시,서구,122618,119098,3520,주거,공동주택,기숙사
0,0,0,2017-01-02 2:53,전라남도,완도군,473,212,261,생활서비스,음식점,한식
0,1,1,2017-01-02 3:12,경상북도,예천군,180,150,30,주거,단독주택,단독주택
0,0,0,2017-01-02 3:38,경기도,고양시덕양구,2200,0,2200,"자동차,철도차량",자동차,특수자동차
0,0,0,2017-01-02 4:03,전라북도,전주시덕진구,953,686,267,집합시설,종교시설,성당
0,0,0,2017-01-02 4:08,서울특별시,강남구,6534,0,6534,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-02 4:21,경기도,수원시장안구,1170,1170,0,집합시설,종교시설,교회
0,0,0,2017-01-02 4:43,전라남도,해남군,6600,0,6600,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-02 5:00,전라북도,임실군,87678,69374,18304,산업시설,동식물시설,계사
0,0,0,2017-01-02 5:14,인천광역시,서구,11464,5643,5821,생활서비스,음식점,한식
1,0,1,2017-01-02 5:39,충청남도,서천군,11605,9515,2090,주거,단독주택,단독주택
0,0,0,2017-01-02 6:21,경기도,화성시,9198,0,9198,기타,야외,기타야외
0,0,0,2017-01-02 6:27,경기도,광주시,199,0,199,기타,야외,쓰레기
0,0,0,2017-01-02 6:44,대전광역시,동구,3373,2766,607,주거,공동주택,아파트
0,0,0,2017-01-02 7:26,전라북도,익산시,20,0,20,주거,공동주택,아파트
0,0,0,2017-01-02 7:40,경기도,광주시,78920,65396,13524,산업시설,창고시설,"창고, 물품저장소"
0,0,0,2017-01-02 8:22,경상북도,봉화군,66000,0,66000,"자동차,철도차량",자동차,화물자동차
0,0,0,2017-01-02 8:52,경상남도,진주시,1925,819,1106,산업시설,창고시설,기타 창고
0,0,0,2017-01-02 8:57,경상남도,창원시 의창구,11000,0,11000,"자동차,철도차량",건설기계,덤프트럭
0,0,0,2017-01-02 9:09,부산광역시,강서구,0,,,기타,야외,야적장
0,0,0,2017-01-02 9:16,서울특별시,영등포구,49,0,49,주거,단독주택,다가구주택
0,0,0,2017-01-02 9:16,전라북도,정읍시,452,349,103,주거,단독주택,단독주택
0,0,0,2017-01-02 9:19,경상북도,김천시,18337,12749,5588,"판매,업무시설",숙박시설,모텔
0,2,2,2017-01-02 9:45,인천광역시,서구,20431,17743,2688,주거,공동주택,연립주택
0,0,0,2017-01-02 10:13,경상남도,양산시,3301,1189,2112,"판매,업무시설",판매시설,상점가
0,1,1,2017-01-02 10:18,강원도,속초시,627,414,213,주거,단독주택,단독주택
0,0,0,2017-01-02 10:36,경기도,평택시,10342,4503,5839,산업시설,작업장,"고철처리소, 고물상"
0,0,0,2017-01-02 10:42,경기도,동두천시,550,0,550,"자동차,철도차량",자동차,화물자동차
0,0,0,2017-01-02 10:57,서울특별시,서초구,330,0,330,"자동차,철도차량",자동차,화물자동차
0,0,0,2017-01-02 11:20,강원도,춘천시,7954,0,7954,"자동차,철도차량",자동차,소형 승합차
0,0,0,2017-01-02 11:36,경기도,광명시,452,235,217,주거,공동주택,다세대주택
0,0,0,2017-01-02 11:40,경상남도,거제시,2080,0,2080,"자동차,철도차량",자동차,화물자동차
0,0,0,2017-01-02 11:42,대전광역시,서구,50,0,50,기타,야외,쓰레기
0,0,0,2017-01-02 11:49,서울특별시,중랑구,1551,836,715,주거,단독주택,단독주택
0,0,0,2017-01-02 12:14,울산광역시,울주군,291,269,22,산업시설,공장시설,그 밖의 공업
0,0,0,2017-01-02 12:25,강원도,강릉시,0,,,임야,들불,기타 들불
0,0,0,2017-01-02 12:37,서울특별시,강남구,275,0,275,생활서비스,음식점,한식
0,0,0,2017-01-02 12:50,부산광역시,연제구,306,169,137,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당)
0,0,0,2017-01-02 12:57,부산광역시,기장군,0,,,주거,공동주택,아파트
0,0,0,2017-01-02 13:00,충청남도,천안시서북구,3146,0,3146,생활서비스,음식점,한식
0,0,0,2017-01-02 13:02,경기도,남양주시,423,0,423,기타,야외,야적장
0,1,1,2017-01-02 13:04,전라남도,담양군,823,823,0,생활서비스,음식점,한식
0,0,0,2017-01-02 13:15,경상북도,안동시,4927,2245,2682,주거,단독주택,단독주택
0,0,0,2017-01-02 14:24,충청남도,태안군,0,,,임야,산불,사유림
0,0,0,2017-01-02 14:27,강원도,춘천시,440,0,440,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-02 14:31,서울특별시,서초구,113,113,0,생활서비스,음식점,"치킨,족발"
0,0,0,2017-01-02 15:08,경기도,구리시,2,0,2,주거,단독주택,다가구주택
0,0,0,2017-01-02 15:11,서울특별시,노원구,51,51,0,주거,공동주택,아파트
0,0,0,2017-01-02 15:25,경상남도,거창군,36,36,0,산업시설,창고시설,"창고, 물품저장소"
0,0,0,2017-01-02 15:42,인천광역시,서구,18415,17430,985,주거,공동주택,연립주택
0,0,0,2017-01-02 15:42,경기도,평택시,56,0,56,주거,공동주택,다세대주택
0,0,0,2017-01-02 16:00,경기도,안산시상록구,1,0,1,주거,공동주택,아파트
0,0,0,2017-01-02 16:11,전라북도,남원시,1301,751,550,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-02 16:29,강원도,강릉시,11,0,11,기타,야외,기타야외
0,0,0,2017-01-02 16:38,전라북도,전주시완산구,56,39,17,주거,단독주택,다가구주택
0,0,0,2017-01-02 16:50,경기도,용인시수지구,849,24,825,"판매,업무시설",판매시설,상점가
0,0,0,2017-01-02 16:59,부산광역시,부산진구,1072,227,845,산업시설,작업장,공업사
0,0,0,2017-01-02 17:00,서울특별시,강서구,280,0,280,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-02 17:02,대전광역시,유성구,238,143,95,주거,단독주택,다가구주택
0,0,0,2017-01-02 17:17,경기도,군포시,23,0,23,주거,공동주택,주상복합아파트
0,0,0,2017-01-02 17:23,전라남도,나주시,1316,409,907,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-02 17:32,경상북도,포항시북구,15029,12628,2401,주거,공동주택,아파트
0,0,0,2017-01-02 17:44,경기도,평택시,56127,23127,33000,산업시설,동식물시설,계사
0,0,0,2017-01-02 17:47,경기도,용인시처인구,26262,0,26262,산업시설,공장시설,"전기, 전자공업"
0,0,0,2017-01-02 17:59,전라북도,순창군,7080,4554,2526,주거,단독주택,단독주택
0,0,0,2017-01-02 18:05,강원도,춘천시,1384,1384,0,주거,단독주택,단독주택
0,0,0,2017-01-02 18:19,경상남도,고성군,1852,743,1109,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-02 18:27,서울특별시,광진구,100,0,100,주거,단독주택,단독주택
0,0,0,2017-01-02 18:29,부산광역시,강서구,107,0,107,산업시설,공장시설,금속기계 및 기구공업
0,0,0,2017-01-02 19:20,부산광역시,강서구,3105,1455,1650,산업시설,동식물시설,농예용 온실
0,0,0,2017-01-02 19:26,충청남도,아산시,2547,1078,1469,기타,야외,기타야외
0,0,0,2017-01-02 19:29,부산광역시,사하구,0,,,"판매,업무시설",일반업무,일반빌딩
0,0,0,2017-01-02 20:14,인천광역시,남구,220,0,220,"의료,복지시설",의료시설,기타 의료시설
0,0,0,2017-01-02 20:18,경상북도,영덕군,2361,2361,0,주거,단독주택,단독주택
0,0,0,2017-01-02 20:41,경기도,광명시,1332,866,466,"판매,업무시설",일반업무,일반회사
0,0,0,2017-01-02 20:44,경기도,동두천시,1023,0,1023,기타,야외,쓰레기
0,0,0,2017-01-02 21:05,전라북도,부안군,21989,1463,20526,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-02 21:17,경상남도,김해시,65,53,12,주거,공동주택,아파트
0,0,0,2017-01-02 21:18,제주특별자치도,서귀포시,330,0,330,기타,야외,야적장
0,0,0,2017-01-02 21:25,경상북도,영주시,1760,0,1760,"자동차,철도차량",자동차,화물자동차
0,0,0,2017-01-02 22:26,강원도,강릉시,140,0,140,기타,야외,공터
0,0,0,2017-01-02 22:28,경기도,파주시,914,587,327,생활서비스,음식점,한식
0,0,0,2017-01-02 22:29,경기도,성남시중원구,975,201,774,주거,단독주택,다가구주택
0,0,0,2017-01-02 23:07,충청북도,제천시,75,0,75,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-02 23:28,경기도,김포시,137,30,107,산업시설,공장시설,금속기계 및 기구공업
0,0,0,2017-01-02 23:36,충청남도,태안군,60,0,60,"의료,복지시설",건강시설,"목욕장(사우나, 찜질방)"
0,0,0,2017-01-02 23:58,경기도,남양주시,20,17,3,주거,공동주택,아파트
0,0,0,2017-01-03 0:00,경상북도,포항시북구,1684,951,733,주거,공동주택,아파트
0,0,0,2017-01-03 0:14,강원도,춘천시,0,,,생활서비스,일상서비스,일반상점
0,0,0,2017-01-03 1:00,경기도,광주시,4630,1838,2792,주거,공동주택,다세대주택
0,0,0,2017-01-03 1:02,부산광역시,금정구,77,70,7,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당)
0,0,0,2017-01-03 1:18,경기도,부천시,624,239,385,기타,야외,기타야외
0,0,0,2017-01-03 1:36,전라남도,목포시,277,112,165,주거,단독주택,단독주택
0,0,0,2017-01-03 2:12,서울특별시,관악구,30,0,30,주거,공동주택,다세대주택
0,0,0,2017-01-03 2:46,강원도,홍천군,5810,4490,1320,산업시설,동식물시설,우사
0,0,0,2017-01-03 2:48,광주광역시,광산구,40635,13305,27330,산업시설,동식물시설,농예용 온실
0,0,0,2017-01-03 3:17,제주특별자치도,제주시,2200,1382,818,산업시설,창고시설,"창고, 물품저장소"
0,0,0,2017-01-03 3:26,충청남도,아산시,857,316,541,기타,야외,기타야외
0,0,0,2017-01-03 3:40,부산광역시,사하구,140,85,55,주거,단독주택,단독주택
0,0,0,2017-01-03 3:48,대구광역시,북구,330,0,330,"자동차,철도차량",자동차,오토바이
0,0,0,2017-01-03 3:53,광주광역시,북구,1873,1103,770,주거,단독주택,다가구주택
0,0,0,2017-01-03 3:55,경기도,평택시,1503,865,638,산업시설,공장시설,그 밖의 공업
0,0,0,2017-01-03 4:05,서울특별시,동작구,33,0,33,기타,야외,기타야외
0,0,0,2017-01-03 4:29,전라북도,전주시덕진구,1366,1281,85,주거,단독주택,단독주택
0,0,0,2017-01-03 4:36,전라남도,해남군,0,,,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-03 4:40,경기도,파주시,8546,6909,1637,집합시설,운동시설,"체육도장(태권도, 검도 등)"
0,0,0,2017-01-03 4:53,경기도,성남시분당구,5251,3248,2003,주거,공동주택,아파트
0,0,0,2017-01-03 4:59,강원도,동해시,212,156,56,주거,기타주택,기타 주택
0,0,0,2017-01-03 5:24,경상북도,성주군,3892,2817,1075,기타서비스,기타건축물,기타 건축물
0,1,1,2017-01-03 5:49,경기도,의정부시,5459,3500,1959,주거,공동주택,다세대주택
0,0,0,2017-01-03 5:59,경기도,남양주시,14269,0,14269,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-03 6:31,강원도,철원군,1650,0,1650,"자동차,철도차량",자동차,화물자동차
0,0,0,2017-01-03 6:31,경상남도,함안군,28600,0,28600,"자동차,철도차량",자동차,화물자동차
0,0,0,2017-01-03 7:13,강원도,홍천군,220,0,220,주거,단독주택,단독주택
0,0,0,2017-01-03 7:41,경기도,김포시,96,0,96,주거,공동주택,아파트
0,0,0,2017-01-03 8:10,인천광역시,남구,3171,2071,1100,주거,공동주택,주상복합아파트
0,0,0,2017-01-03 8:18,경상북도,포항시남구,1111,506,605,산업시설,창고시설,기타 창고
0,0,0,2017-01-03 8:31,전라남도,담양군,19,0,19,산업시설,창고시설,기타 창고
0,0,0,2017-01-03 8:31,경기도,용인시처인구,533,0,533,기타,야외,기타야외
0,0,0,2017-01-03 9:00,서울특별시,강남구,426,304,122,주거,단독주택,다가구주택
0,0,0,2017-01-03 9:02,제주특별자치도,제주시,190,0,190,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-03 9:14,충청남도,서산시,242,0,242,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-03 9:19,서울특별시,강서구,24,0,24,주거,공동주택,아파트
0,0,0,2017-01-03 9:34,부산광역시,부산진구,51,0,51,주거,공동주택,아파트
0,0,0,2017-01-03 10:16,경기도,파주시,112,96,16,산업시설,공장시설,그 밖의 공업
0,0,0,2017-01-03 10:28,충청남도,청양군,55,0,55,기타,야외,쓰레기
0,0,0,2017-01-03 10:53,서울특별시,서초구,9400,0,9400,"자동차,철도차량",건설기계,굴삭기
0,0,0,2017-01-03 11:03,충청북도,진천군,5168,1384,3784,산업시설,공장시설,인쇄업
0,0,0,2017-01-03 11:08,부산광역시,영도구,825,0,825,기타,야외,기타야외
0,0,0,2017-01-03 11:17,경상남도,거창군,232,122,110,임야,들불,논밭두렁
0,0,0,2017-01-03 11:20,대구광역시,중구,660,169,491,생활서비스,일상서비스,기타 일상서비스
0,0,0,2017-01-03 11:23,대구광역시,달성군,1801,1801,0,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-03 11:26,서울특별시,강서구,3450,1331,2119,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-03 11:39,대전광역시,대덕구,682,0,682,"자동차,철도차량",자동차,소형 승합차
0,0,0,2017-01-03 11:45,전라남도,진도군,2052,402,1650,산업시설,동식물시설,기타 동식물시설
0,0,0,2017-01-03 11:55,제주특별자치도,제주시,2640,0,2640,"자동차,철도차량",자동차,특수자동차
0,0,0,2017-01-03 12:00,울산광역시,울주군,4,0,4,기타,야외,쓰레기
0,0,0,2017-01-03 12:06,충청남도,논산시,17391,12089,5302,"판매,업무시설",판매시설,상가빌딩
0,0,0,2017-01-03 12:07,대구광역시,달성군,631,0,631,운수자동차시설,"역사,터미널",지하철역사
0,0,0,2017-01-03 12:21,충청남도,아산시,1480,1040,440,생활서비스,음식점,양식
0,0,0,2017-01-03 12:51,강원도,춘천시,37,35,2,주거,공동주택,다세대주택
0,0,0,2017-01-03 12:53,서울특별시,강남구,259,0,259,"판매,업무시설",일반업무,오피스텔
0,0,0,2017-01-03 13:29,전라남도,함평군,2501,1973,528,산업시설,창고시설,기타 창고
0,0,0,2017-01-03 13:32,전라북도,진안군,15776,8408,7368,주거,단독주택,단독주택
0,0,0,2017-01-03 13:42,경기도,양평군,833,0,833,임야,산불,사유림
0,0,0,2017-01-03 14:03,전라남도,영암군,22,0,22,임야,들불,기타 들불
0,0,0,2017-01-03 14:04,경기도,안산시단원구,24,0,24,"판매,업무시설",일반업무,일반회사
0,0,0,2017-01-03 14:06,경기도,수원시팔달구,1552,0,1552,주거,공동주택,아파트
0,0,0,2017-01-03 14:20,경기도,양주시,7873,6637,1236,산업시설,공장시설,방직공업
0,0,0,2017-01-03 14:30,인천광역시,서구,825,0,825,"자동차,철도차량",자동차,화물자동차
0,0,0,2017-01-03 14:41,경상북도,영덕군,2624,2244,380,주거,단독주택,단독주택
0,0,0,2017-01-03 14:56,대구광역시,북구,0,,,기타,야외,기타야외
0,0,0,2017-01-03 15:03,전라북도,전주시덕진구,35521,35521,0,산업시설,공장시설,펄프 및 제지공업
0,1,1,2017-01-03 15:14,경상남도,김해시,499,308,191,"의료,복지시설",의료시설,의원
0,0,0,2017-01-03 15:24,전라북도,남원시,330,300,30,주거,단독주택,단독주택
0,0,0,2017-01-03 15:28,전라남도,나주시,88,88,0,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-03 15:41,광주광역시,광산구,550,0,550,기타,야외,기타야외
0,0,0,2017-01-03 15:50,대구광역시,동구,1100,0,1100,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-03 15:52,경기도,의왕시,28,0,28,주거,단독주택,단독주택
0,0,0,2017-01-03 15:52,경기도,광주시,11531,9469,2062,산업시설,창고시설,기타 창고
0,0,0,2017-01-03 16:00,강원도,원주시,6006,0,6006,산업시설,공장시설,식료품공업
0,0,0,2017-01-03 16:16,대구광역시,북구,94,0,94,생활서비스,음식점,기타 음식점
0,0,0,2017-01-03 16:20,경기도,의정부시,4038,2575,1463,산업시설,작업장,기타 작업장
0,0,0,2017-01-03 16:23,전라북도,정읍시,23604,19534,4070,주거,단독주택,단독주택
0,0,0,2017-01-03 16:27,경상북도,구미시,1904,1684,220,주거,단독주택,단독주택
0,0,0,2017-01-03 16:27,부산광역시,부산진구,0,,,기타,야외,쓰레기
0,0,0,2017-01-03 17:00,경기도,오산시,4,0,4,기타,야외,쓰레기
0,0,0,2017-01-03 17:28,경상남도,밀양시,6051,3560,2491,주거,단독주택,단독주택
0,0,0,2017-01-03 17:31,부산광역시,기장군,0,,,기타,야외,기타야외
0,0,0,2017-01-03 17:46,서울특별시,강서구,5363,2508,2855,주거,공동주택,아파트
0,0,0,2017-01-03 17:59,전라북도,순창군,301,177,124,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-03 17:59,인천광역시,서구,11,0,11,기타,야외,야적장
